7.5.2,"Petender hendaklah menyediakan fungsi arahan kepada Panel Guaman untuk laksana NOD iaitu Surat arahan berserta senarai nama usahawan dihantar secara automatik kepada panel peguam, Panel peguam akan menerima notifikasi daripada TEKUN melalui emel dan Panel Peguam akan mengakses sistem litigasi TEKUN untuk tindakan lanjut. Sistem menyediakan fail lengkap kes yang mempunyai maklumat:
•	Butiran peminjampenerima biaya & penjamin
•	Sejarah pembayaran & tunggakan
•	Rekod tindakan dalaman
•	Alamat terkini & nombor telefon
•	Salinan perjanjian & cagaran (jika ada)
•	Dan lain-lain yang berkaitan (skala fee peguam)",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.5.3,"Petender hendaklah menyediakan fungsi kaedah pengurusan NOD oleh Panel Peguam iaitu Upload salinan NOD secara batch dan Update tarikh dan status penghantaran (contoh berjaya, return)",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.6,Saman Sivil,,,,,,,,,,,,,,,,,,,,,,
7.6.1,"Petender hendaklah menyediakan fungsi Saman Sivil jika tiada bayaran / part payment
•	Saman
•	Winding-Up Prosiding (tindakan block payment dilaksanakan)
•	Pemfailan POD-block payment dilaksanakan (Jika telah bankrup) 
1. notifikasi daripada BSK kepada JUU, tagging di sistem dan hantar POD ke Jabatan Insolvensi Malaysia (JIM)
2. surat daripada luar (JSIKA, cawangan, usahawan). JUU boleh upload surat dan tagging di sistem.",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.6.2,"Petender hendaklah menyediakan fungsi penjanaan saman (Writ of Summons / Statement of Claim) di peringkat cawangan. Jika notis peringatan tidak dipatuhi selepas tempoh tertentu (contoh: 14 hari), sistem akan:
•	Paparkan senarai yang masih bertunggakan pada level cawangan
•	Cawangan boleh pilih peminjam yang ingin disaman
•	Cawangan perlu melengkapkan permohonan saman (upload gambar siasatan dan ulasan) - PP
•	Memastikan dokumen perjanjian telah diupload
•	PC mengesahkan permohonan saman dengan membuat ulasan sokongan",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.6.3,"Petender hendaklah menyediakan fungsi kelulusan tindakan saman (Writ of Summons / Statement of Claim) di peringkat Ibu Pejabat. Pengesahan daripada:
•	Bahagian Penyeliaan Kredit (BSK)
•	Jabatan produk
•	Timbalan Ketua Pegawai Eksekutif (TKPE)",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.6.4,Petender hendaklah menyediakan fungsi arahan kepada Panel Guaman melaksanakan saman. Surat arahan berserta nama usahawan dihantar secara automatik kepada panel peguam. Panel peguam akan menerima notifikasi daripada TEKUN melalui emel. Panel Peguam akan mengakses sistem litigasi TEKUN untuk tindakan lanjut,Mandatori,,,,,,,,,,,,,,,,,,,,,
7.6.5,"Petender hendaklah menyediakan fungsi Kaedah Pengurusan Saman oleh Panel Peguam. Upload salinan saman secara individu bagi setiap kes

Update maklumat tindakan litigasi seperti nama mahkamah, no kes tarikh dan lain-lain

Mengemaskini maklumat penghakiman:
Sistem akan menyimpan dan memaparkan:
•	Tarikh-tarikh penting:
o	Tarikh pengurusan kes
o	Tarikh pendengaran
o	Tarikh perbicaraan
o	Tarikh penghakiman
•	Keputusan setiap sesi

Pegawai cawangan dan BSK akan menerima peringatan automatik untuk setiap tarikh di atas 7 hari sebelum tarikh di atas",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.6.6,"Petender hendaklah menyediakan fungsi penyimpanan dokumen saman. Semua notis dan dokumen saman yang dijana akan:
•	Disimpan dalam sistem dengan nombor rujukan unik
•	Dihubungkan dengan akaun pinjamanpembiayaan
•	Boleh diakses oleh pegawai litigasi dan panel peguam",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.6.7,"Petender hendaklah menyediakan fungsi Pemantauan & Tindakan Susulan. Pegawai TEKUN boleh memantau status tindakan peguam:
•	Notis saman dihantar
•	Kes didaftarkan di mahkamah
•	Tarikh pengurusan kes / penghakiman

Semua tindakan peguam perlu dilaporkan kembali ke sistem secara berkala

",Mandatori,,,,,,,,,,,,,,,,,,,,,
